continentLabel,mountainLabel,latitude,longitude
Америка,Cerro Volcán,-27.7945,-68.4348
Америка,Cerro Volcán,-46.6619,-70.7905
Америка,Morro de los Volcanes,-25.3833,-65.0408
Америка,Cerro Volcán Grande,-47.031388888,-71.224444444
Америка,Cerro Volcán Overo,-34.5734,-70.0202
Америка,Volcán Rojo,-27.1498,-68.3237
Америка,Volcán Santa María,-36.3017,-69.3242
Америка,Segundo Cono Truncado,-48.5658,-69.3433
Америка,Volcán Pihuel,-36.1042,-69.405
Америка,Volcán Negro,-27.099722222,-68.38
Америка,Escorial de la Media Luna,-36.233333333,-69.316666666
Америка,Cerro Morado,-27.347222222,-67.258055555
Америка,Volcanes Los Callos,-36.645555555,-69.613888888
Америка,Los Volcanes,-36.4285,-69.5175
Америка,Volcán del Manantial,-26.7167,-67.9967
Америка,Volcán del Hoyo,-36.15,-69.1
Америка,Volcán Juncal,-24.7675,-66.805
Америка,Pico Cónico Truncado,-48.75,-69.3
Америка,Cerro Cono Fontana,-45.025277777,-71.438055555
Америка,Volcán Dolo,-36.316666666,-68.733333333
Америка,Volcán Elisabeth,-48.31,-69.7683
Америка,Volcán El Jinete,-36.5985,-69.6032
Америка,Volcán de Cochiquito,-36.738333333,-69.834722222
Америка,Cerro Alto del Volcán,-27.396,-67.2853
Америка,Cerro Alumbrera,-26.1425,-67.424166666
Америка,Volcán Auvernia,-48.4494,-68.18
Америка,Cerro Negro,-27.314166666,-67.29
Америка,Nevado Tres Cruces Central,-27.068638888,-68.786472222
Америка,Люляйляко,-24.719722222,-68.536666666
Америка,Охос дел Саладо,-27.109444444,-68.542222222
Америка,Галерас,1.216666666,-77.366666666
Америка,"Guallatiri, Chile",-18.423611111,-69.089722222
Америка,Cerro Chirripó,9.484083333,-83.488666666
Америка,Parinacota,-18.165752777,-69.141611111
Америка,Cerro Pintado,10.458881565,-72.903561264
Америка,Nevado Anallajsi,-17.916666666,-68.916666666
Америка,Nevado Sajama,-18.108055555,-68.883055555
Америка,Cerro Marahuaca,3.66,-65.40666667
Америка,Mount Monadnock,42.860833333,-72.108055555
Америка,Aracar,-24.29,-67.7833
Америка,Антофаля,-25.5625,-67.880833333
Америка,Cordón del Azufre,-25.333333333,-68.516666666
Америка,Acamarachi,-23.295833333,-67.617222222
Америка,Acamarachi,-23.295833333,-67.617222222
Америка,Acatenango,14.500833333,-90.875833333
Америка,Pico Cristóbal Colón,10.834444444,-73.691388888
Америка,Acopán-tepui,5.2,-62.06666667
Америка,Uritorco,-30.844166666,-64.476111111
Америка,Arintica,-18.75,-69.05
Америка,Irruputuncu,-20.733333333,-68.566666666
Америка,North Twin,52.223694444,-117.434388888
Америка,Volcán Atitlán,14.583333333,-91.186111111
Америка,Lanín,-39.637178,-71.50305748
Америка,Aguilera,-50.284585,-73.66839409
Америка,Pomerape,-18.126275,-69.126719444
Америка,Socompa,-24.393333333,-68.256111111
Америка,Tronador,-41.160833333,-71.8875
Америка,Tromen,-37.142,-70.03
Америка,Невадо де Колима,19.5636,-103.608
Америка,Sierra de la Culata,8.98694,-71.25
Америка,Agathla Peak,36.826666666,-110.225555555
Америка,Mount Babel,51.4411,-68.6919
Америка,Unnecessary Mountain,49.4483,-123.198
Америка,Xítle,19.245669,-99.222706
Америка,Mount Saint Catherine,12.162222222,-61.675277777
Америка,Yerupajá,-10.268889,-76.905278
Америка,Mont Farlagne,47.401389,-68.390833
Америка,Muela del Diablo,-16.5625,-68.056944444
Америка,Mount Washington,44.270827777,-71.303483333
Америка,Misti,-16.296388888,-71.410555555
Америка,Boundary Peak,37.8461,-118.351
Америка,Cerro Solo,-27.108333333,-68.716666666
Америка,Невадо Мисми,-15.525277777,-71.690833333
Америка,Pico Cristóbal Colón,10.838333333,-73.686666666
Америка,Невадо Трес Крусес,-27.098055555,-68.778055555
Америка,Monte Pissis,-27.755277777,-68.799166666
Америка,Pico da Bandeira,-20.435151,-41.7963
Америка,Volcan Baru,8.808,-82.543
Америка,Яманота,12.487222222,-69.940277777
Америка,Q'asiri (Larecaja),-15.9,-68.5
Америка,Granite Peak,45.163416666,-109.807444444
